Jitter (local),"Jitter (local, absolute)",Jitter (rap),Jitter (ppq5),Jitter (ddp),Shimmer (local),"Shimmer (local, dB)",Shimmer (apq3),Shimmer (apq5),Shimmer (apq11),Shimmer (dda),Median Pitch,Mean Pitch ,Standard deviation,Number of pulses,Number of periods,Class information
0.798,0.000076578,0.323,0.324,0.968,7.713,0.843,3.066,4.056,5.135,9.198,102.885,104.12,5.736,49,47,1
1.523,0.000152494,0.449,0.717,1.346,8.878,0.901,3.001,4.402,7.841,9.003,97.693,99.19,6.478,30,29,1
1.502,0.000153896,0.627,0.641,1.881,11.398,1.261,4.374,5.636,12.925,13.122,95.976,97.198,5.653,52,50,1
1.302,0.000131345,0.651,0.848,1.954,14.682,1.372,7.204,8.242,11.12,21.613,98.805,98.984,1.973,51,50,1
2.294,0.000223757,0.852,0.807,2.556,14.003,1.201,6.703,9.346,7.751,20.11,101.139,102.555,6.356,32,30,1
3.349,0.000276574,1.713,2.133,5.139,13.324,1.301,5.24,8.855,21.363,15.719,110.544,120.07,14.768,54,51,1
1.87,0.000192691,0.658,1.105,1.975,14.517,1.395,5.992,7.872,14.176,17.976,97.13,96.919,5.207,19,18,1
3.474,0.000280212,1.289,1.453,3.866,14.389,1.325,5.517,8.036,10.873,16.55,121.416,123.158,16.956,97,90,1
1.88,0.000160998,0.775,1.023,2.324,13.784,1.337,5.11,8.252,16.23,15.331,117.675,117.009,12.967,127,125,1
2.594,0.000220832,1.237,1.553,3.712,14.271,1.33,4.72,9.498,22.714,14.159,117.571,118.002,9.035,99,96,1
3.856,0.000325586,1.677,1.82,5.032,14.791,1.543,6.53,8.411,8.822,19.591,115.892,118.546,13.626,107,102,1
3.507,0.000301615,1.167,1.055,3.501,15.394,1.36,8.108,9.754,12.934,24.325,109.846,115.818,11.057,31,28,1
1.738,0.000163111,0.867,0.903,2.601,12.337,1.227,5.043,7.638,15.448,15.13,105.465,106.128,3.968,46,45,1
3.41,0.000297646,1.876,2.247,5.627,13.982,1.428,5.046,11.049,0.517,15.138,116.976,113.333,9.645,40,38,1
1.746,0.000168687,0.664,0.938,1.992,12.828,1.266,4.892,7.387,11.653,14.676,101.234,103.274,7.182,45,44,1
3.28,0.000310314,1.651,1.786,4.952,15.968,1.511,8.79,8.85,10.121,26.369,100.961,106.074,10.866,35,33,1
4.264,0.000401282,1.587,2.451,4.762,14.021,1.381,6.598,9.376,10.55852,19.794,102.513,105.063,7.468,27,25,1
1.132,0.000105694,0.543,0.791,1.628,14.438,1.333,7.901,9.576,11.362,23.704,107.805,107.019,2.239,41,40,1
2.09,0.000191728,0.732,0.972,2.196,19.041,1.659,9.663,14.94,22.065,28.99,106.09,108.772,8.866,44,42,1
2.604,0.000242771,0.975,1.118,2.924,13.346,1.185,5.65,7.461,8.343,16.95,102.861,106.829,10.304,30,29,1
0.888,0.000092367,0.352,0.435,1.057,5.995,0.604,2.757,3.522,5.367,8.27,96.258,96.067,7.303,99,98,1
0.649,0.000067791,0.271,0.343,0.813,6.24,0.675,2.737,3.602,5.66,8.212,95.415,95.754,5.479,108,107,1
0.717,0.000073027,0.32,0.419,0.959,11.871,1.067,4.619,6.368,12.973,13.857,95.992,98.206,5.743,92,91,1
2.455,0.000236266,0.932,0.503,2.795,7.774,0.76,1.786,2.603,8.034,5.358,106.842,103.802,7.639,19,18,1
3.95,0.000420561,1.48,1.287,4.44,19.378,1.512,10.98,9.071,3.673,32.94,98.615,96.122,7.522,24,20,1
3.332,0.000316628,1.664,1.935,4.991,11.119,1.184,3.351,6.598,13.141,10.053,106.936,104.983,6.254,32,31,1
1.5,0.000150861,0.637,0.628,1.91,8.145,0.729,3.264,4.471,5.773,9.792,100.806,99.542,4.982,23,22,1
4.293,0.000327781,1.714,1.954,5.143,14.494,1.345,7.081,7.355,12.561,21.242,100.193,147.033,125.066,42,37,1
3.426,0.000378914,1.312,1.584,3.937,16.55,1.543,7.815,8.846,13.233,23.444,91.239,91.245,7.253,37,34,1
3.886,0.000440647,1.923,1.657,5.768,15.729,1.329,7.132,7.562,11.64452381,21.396,92.735,90.61,6.756,41,38,1
4.753,0.000559833,1.891,1.735,5.672,28.335,1.906,12.801,13.152,11.64452381,38.403,85.322,87.363,7.704,13,11,1
2.122,0.000206098,0.729,0.782,2.187,8.023,0.727,3.503,4.542,6.649,10.508,96.386,122.47,98.462,34,26,1
2.555,0.000235874,1.199,1.097,3.597,14.784,1.489,8.011,7.86,10.478,24.033,112.903,108.62,10.805,34,33,1
5.989,0.000293124,2.792,3.991,8.376,17.295,1.491,7.044,12.174,11.64452381,21.133,96.285,230.756,174.582,177,144,1
3.017,0.000264121,1.221,1.371,3.664,16.135,1.362,5.74,8.253,9.845,17.219,94.057,128.644,112.141,123,110,1
2.326,0.000230644,0.921,1.18,2.764,16.794,1.391,6.179,8.897,13.29,18.536,90.519,108.071,82.291,75,69,1
6.505,0.000258385,2.829,4.09,8.488,10.947,1.049,6.051,6.322,21.455,18.153,265.132,280.932,190.753,150,110,1
9.081,0.000504277,0.176,1.39464,0.527,3.995,0.414,6.20364,8.01752,11.64452381,18.61076,282.771,282.771,293.877,10,7,1
2.777,0.000318193,1.361,1.593,4.083,15.978,1.387,6.931,10.165,20.197,20.793,89.807,87.749,6.165,28,27,1
2.876,0.000304157,1.269,0.616,3.808,20.813,1.682,9.464,16.371,11.64452381,28.392,95.078,93.248,5.822,13,12,1
1.935,0.000233531,0.955,0.962,2.866,12.654,1.025,5.249,8.685,11.692,15.747,81.46,83.418,7.671,36,35,1
2.889,0.000237735,1.22,1.52,3.659,15.262,1.48,7.064,8.352,21.693,21.192,90.692,131.88,123.676,38,34,1
2.283,0.000161112,1.175,1.265,3.526,18.213,1.506,9.236,11.632,12.553,27.708,93.844,175.912,166.448,58,45,1
2.598,0.000298307,1.021,0.859,3.063,11.073,0.997,6.086,5.516,7.674,18.257,89.951,87.985,6.209,25,24,1
2.633,0.000299117,0.99,1.072,2.971,11.53,1.015,4.457,7.028,13.754,13.371,89.85,88.272,7.433,32,30,1
4.169,0.000231294,2.075,1.988,6.225,17.203,1.795,5.753,11.491,14.84,17.26,94.445,210.315,175.376,67,53,1
0.342,0.000023179,0.125,0.184,0.374,3.154,0.29,1.471,1.765,2.828,4.413,147.918,147.518,3.833,162,161,1
1.005,0.000064678,0.398,0.36,1.194,3.638,0.459,1.598,2.181,3.461,4.795,155.92,155.269,6.935,149,148,1
0.411,0.000026705,0.123,0.176,0.369,3.063,0.319,1.188,1.613,3.442,3.564,153.072,154.276,8.413,109,108,1
1.15,0.000078482,0.464,0.551,1.392,6.511,0.597,3.197,4.103,7.403,9.591,149.536,146.206,12.364,39,38,1
3.629,0.000257792,2.058,1.852,6.175,13.583,1.267,5.529,8.687,16.039,16.587,143.194,140.701,8.918,68,67,1
2.333,0.000156376,1.174,1.301,3.521,13.929,1.389,6.609,11.963,14.07,19.826,148.985,148.992,7.255,41,40,1
4.534,0.000253697,2.55,2.608,7.65,10.432,1.384,5.104,6.206,9.461,15.311,149.726,194.576,103.909,84,75,1
5.733,0.000222023,2.796,2.952,8.387,14.294,1.387,5.239,6.398,12.388,15.718,160.446,258.479,149.76,129,121,1
2.247,0.000156232,1.007,1.039,3.02,17.145,1.489,7.184,11.347,18.188,21.552,140.846,142.978,9.867,93,92,1
1.266,0.000085375,0.57,0.626,1.711,10.468,0.953,4.748,5.219,9.711,14.244,142.095,148.752,22.457,83,82,1
3.017,0.000206504,1.477,1.627,4.43,16.609,1.633,5.453,10.596,20.223,16.36,140.551,147.793,50.07,63,59,1
1.707,0.000119694,0.672,0.8,2.016,10.825,1.137,5.191,5.436,9.361,15.573,143.841,142.464,5.793,65,63,1
2.91,0.000224288,1.2,1.235,3.601,11.554,1.105,5.339,6.272,12.705,16.016,133.393,129.661,17.875,44,42,1
2.743,0.000179433,1.205,1.513,3.615,12.399,1.245,4.781,5.945,10.601,14.342,143.534,152.115,44.451,134,126,1
1.346,0.000089149,0.571,0.804,1.713,10.003,0.982,4.075,6.386,10.129,12.225,153.341,150.816,13.041,185,182,1
3.422,0.000196047,1.959,1.959,5.878,13.21,1.273,5.145,7.34,12.729,15.435,164.728,179.468,65.839,165,154,1
3.13,0.000194539,1.543,1.806,4.63,10.781,1.151,3.369,5.85,12.443,10.106,157.352,161.446,19.746,176,172,1
4.511,0.000309512,1.992,2.881,5.976,11.484,1.157,5.136,7.653,8.985,15.407,151.016,147.698,10.468,51,48,1
1.219,0.000081859,0.741,0.847,2.223,7.466,0.687,3.677,4.914,6.824,11.031,149.251,148.935,4.158,69,68,1
2.931,0.000191211,0.937,0.669,2.812,17.367,1.549,7.133,8.301,15.601,21.4,144.702,158.691,46.066,71,67,1
1.751,0.000118873,0.822,1.136,2.466,10.76,1.004,4.353,5.644,8.676,13.06,150.433,148.176,6.268,83,82,1
4.087,0.000254217,2.065,2.075,6.196,10.183,1.171,3.992,5.768,8.843,11.976,150.924,159.819,62.897,93,88,1
1.924,0.000138084,0.838,1.26,2.514,10.19,1.082,3.575,5.242,12.25,10.726,155.014,141.925,29.468,56,54,1
0.966,0.000057298,0.441,0.611,1.324,9.262,1.07,3.197,5.615,16.278,9.592,166.89,168.816,7.931,64,63,1
1.989,0.000128551,0.799,1.181,2.397,13.103,1.24,4.797,6.593,11.445,14.392,153.172,152.649,19.989,67,65,1
1.86,0.000125768,0.78,1.019,2.34,8.358,0.814,3.102,5.394,6.709,9.305,153.545,147.813,12.072,53,52,1
1.761,0.000136975,1.054,1.009,3.163,12.044,1.165,6.495,7.333,9.543,19.486,128.241,128.632,3.312,626,625,1
1.841,0.000143409,1.117,1.078,3.351,13.993,1.352,7.557,8.376,12.094,22.67,127.641,128.41,3.103,889,886,1
1.438,0.000112619,0.842,0.835,2.526,10.446,0.988,5.431,6.243,8.803,16.293,124.941,127.68,6.326,856,855,1
5.55,0.000445942,3.287,4.345,9.862,21.927,1.867,10.874,10.985,18.90921053,32.623,129.856,125.921,8.073,13,12,1
6.453,0.000504642,3.396,1.296,10.187,12.882,1.181,5.715,12.184,18.90921053,17.144,130.098,128.212,2.763,8,7,1
8.777,0.00068911,5.309,5.345,15.928,12.839,0.991,2.965,8.327,18.90921053,8.896,127.204,128.197,7.015,14,13,1
3.657,0.000295713,1.157,1.504,3.472,12.738,1.345,3.906,7.159,18.90921053,11.717,122.142,124.236,7.856,18,16,1
8.477,0.00026622,4.521,5.723,13.564,18.521,1.558,9.961,14.739,22.005,29.884,130.682,346.83,235.224,111,106,1
4.768,0.000412445,2.582,2.903,7.746,17.953,1.535,9.877,11.535,18.922,29.631,119.257,116.531,7.019,32,29,1
5.931,0.000511994,3.542,3.927,10.627,14.411,1.336,5.544,12.186,39.845,16.632,119.665,116.802,8.235,33,32,1
8.878,0.000577796,5.579,4.405,16.738,19.27,1.721,8.483,14.304,18.90921053,25.448,121.999,149.682,100.192,38,35,1
5.935,0.000423447,3.032,3.438,9.095,22.53,2.007,6.975,13.568,18.90921053,20.925,140.586,139.316,7.675,48,45,1
5.909,0.00042409,2.632,2.456,7.895,17.04,1.333,4.513,10.683,4.583,13.54,132.474,136.94,9.184,24,23,1
5.232,0.000285392,2.603,3.297,7.81,16.558,1.52,7.657,10.972,12.72,22.97,139.336,184.371,126.521,150,140,1
2.6,0.000201351,1.265,1.541,3.795,12.461,1.17,5.849,7.587,12.931,17.547,129.861,129.522,11.329,111,109,1
4.243,0.000332225,2.301,2.547,6.903,18.349,1.591,8.039,12.196,18.669,24.118,128.977,127.975,7.658,78,76,1
4.907,0.000352456,2.646,3.008,7.937,17.732,1.56,7.855,11.58,13.956,23.566,133.116,138.979,45.201,114,109,1
6.613,0.000486097,3.425,4.484,10.275,16.539,1.608,7.484,10.39,18.90921053,22.451,135.714,135.034,4.523,20,19,1
1.556,0.000129071,0.743,1.041,2.228,8.854,0.806,3.302,5.696,11.77,9.905,120.658,119.747,4.643,29,27,1
4.846,0.000411393,2.735,2.38,8.205,21.651,1.906,12.031,17.994,38.283,36.092,121.585,118.504,7.086,36,34,1
5.702,0.000473764,3.148,3.591,9.443,21.3,1.817,9.024,11.833,35.428,27.073,121.617,120.964,4.591,42,41,1
3.599,0.000288141,1.29,1.758,3.871,17.095,1.484,7.313,10.923,21.282,21.939,124.558,125.047,5.588,39,35,1
4.988,0.000400779,2.438,1.854,7.314,13.886,1.276,5.041,8.799,27.084,15.123,123.729,124.418,5.523,37,34,1
2.42,0.000196071,1.349,1.481,4.048,9.57,0.855,3.419,5.901,13.242,10.256,123.528,123.908,7.51,33,32,1
4.041,0.000324382,2.21,2.413,6.63,15.365,1.455,6.19,9.267,24.26,18.571,123.93,124.635,5.159,41,40,1
2.44,0.000220351,1.362,1.53,4.086,13.502,1.261,6.584,7.849,13.855,19.753,110.256,111.106,2.785,29,28,1
0.347,0.00001439,0.2,0.205,0.6,5.807,0.6,3.11,3.785,4.255,9.331,240.232,241.014,4.045,1484,1483,1
0.546,0.000022774,0.317,0.339,0.951,7.248,0.693,3.648,4.747,4.984,10.943,238.875,239.727,6.759,1032,1031,1
0.324,0.000013491,0.187,0.186,0.561,6.606,0.589,3.308,3.974,4.477,9.923,239.883,239.836,2.705,1220,1219,1
1.636,0.000078062,0.286,0.392,0.858,9.199,1.083,2.457,4.514,9.577,7.371,203.599,207.553,65.622,50,46,1
3.25,0.000173116,1.629,1.529,4.887,13.485,1.238,6.269,9.68,11.238,18.807,195.661,187.951,26.136,42,40,1
1.001,0.000051145,0.358,0.395,1.074,10.87,1.035,3.357,7.109,16.718,10.072,195.091,195.597,14.448,34,33,1
2.803,0.000154265,1.417,1.389,4.252,10.533,1.111,4.581,7.042,9.948,13.743,188.149,182.478,21.675,41,40,1
1.04,0.000054173,0.244,0.26,0.733,8.772,0.781,3.708,4.988,7.58,11.123,192.348,191.288,11.748,36,35,1
2.422,0.00013049,1.112,0.883,3.337,11.206,1.272,3.619,5.266,12.016,10.856,195.759,187.75,19.415,67,65,1
2.481,0.00013463,1.197,1.315,3.592,13.977,1.455,5.588,7.578,14.769,16.763,192.218,183.211,20.144,66,65,1
2.916,0.000149509,0.864,0.864,2.593,13.472,1.279,5.48,9.233,16.286,16.441,202.081,193.098,22.33,52,49,1
3.885,0.000183399,1.893,2.348,5.68,17.403,1.526,7.04,10.947,16.328,21.12,205.985,213.244,26.147,60,58,1
2.048,0.000119224,0.558,0.694,1.675,10.921,1.043,4.446,6.212,11.184,13.338,172.711,171.595,20.593,29,28,1
2.831,0.00012191,1.252,1.242,3.755,12.518,1.157,4.254,6.825,15.333,12.761,230.224,235.037,47.463,214,206,1
1.39,0.000062977,0.591,0.6,1.774,9.71,0.972,4.064,5.449,10.252,12.192,219.827,221.363,17.225,254,253,1
2.469,0.000116933,0.998,1.367,2.993,11.829,1.279,4.377,6.699,13.326,13.131,213.676,212.815,12.2,167,164,1
3.837,0.00018276,1.74,1.792,5.219,13.771,1.332,4.968,6.501,18.726,14.904,211.481,210.385,23.995,161,154,1
4.387,0.000170487,2.138,2.555,6.414,10.354,0.999,3.881,4.637,8.222,11.643,217.242,260.166,95.184,74,71,1
1.629,0.000085818,0.754,0.734,2.261,13.724,1.223,6.507,9.219,14.888,19.52,186.965,190.171,8.493,74,72,1
1.843,0.000096158,0.829,0.824,2.486,11.951,1.339,3.363,5.192,13.875,10.088,188.6,190.98,6.86,72,70,1
1.186,0.00006535,0.559,0.706,1.678,13.198,1.171,5.402,7.334,11.299,16.207,183.871,181.228,5.873,85,84,1
2.829,0.000151067,1.465,1.612,4.394,9.601,1.05,3.516,5.822,10.368,10.547,188.301,187.428,8.069,77,74,1
2.451,0.000112137,1.021,0.653,3.062,19.802,1.375,11.091,20.271,27.25,33.273,194.359,218.579,105.818,61,55,1
2.115,0.000115259,0.927,0.835,2.78,9.369,0.993,4.039,5.282,9.69,12.116,180.475,182.403,4.848,70,68,1
3.261,0.000182994,1.592,1.788,4.776,9.04,0.934,3.911,4.725,6.482,11.734,182.736,178.954,11.448,68,66,1
1.51,0.000088464,0.513,0.567,1.539,8.701,0.897,3.725,4.639,6.722,11.176,169.659,170.225,14.628,49,48,1
0.346,0.000023056,0.165,0.197,0.494,6.376,0.58,2.869,3.73,6.027,8.608,150.192,150.112,3.764,939,938,1
0.195,0.000009967,0.098,0.112,0.295,3.254,0.298,1.563,1.935,2.721,4.689,194.351,195.226,4.452,1062,1061,1
0.442,0.000018498,0.275,0.237,0.826,4.544,0.406,2.243,2.627,3.879,6.729,238.325,238.785,6.128,1490,1489,1
4.308,0.000289585,1.787,2.153,5.36,18.843,1.643,8.431,12.865,14.508,25.294,142.119,149.12,21.713,63,62,1
3.877,0.000259359,1.376,2.198,4.128,15.09,1.272,6.738,10.118,18.815,20.214,143.468,150.404,17.504,60,58,1
4.464,0.00027192,2.089,1.897,6.267,10.892,1.135,4.837,5.907,8.721,14.51,171.857,165.127,22.806,41,40,1
3.401,0.000212336,1.604,2.504,4.813,11.555,1.125,3.704,5.458,9.862,11.113,169.164,160.3,16.998,49,48,1
3.502,0.000193709,1.6,1.897,4.799,11.947,1.138,5.518,6.362,8.904,16.554,164.793,185.691,85.725,64,59,1
2.984,0.000195494,1.183,1.228,3.548,18.099,1.559,4.854,9.388,12.963,14.563,151.611,152.098,12.971,85,82,1
1.806,0.000121233,0.564,0.764,1.691,16.756,1.422,6.828,9.96,20.789,20.483,149.756,148.033,15.671,74,70,1
4.438,0.000293199,2.077,1.936,6.232,20.182,1.704,9.809,14.794,32.615,29.426,149.657,150.696,14.599,81,78,1
4.333,0.000262446,1.985,2.549,5.956,14.871,1.389,6.255,9.85,20.986,18.765,158.817,165.064,24.288,95,93,1
4.014,0.000247715,1.702,1.436,5.105,11.446,1.029,5.399,4.668,10.642,16.198,166.954,160.268,29.547,37,35,1
4.743,0.000241944,2.168,2.658,6.505,17.854,1.584,7.393,11.292,18.795,22.179,182.646,198.163,71.174,248,235,1
1.777,0.000098239,0.742,0.768,2.226,11.455,1.13,4.237,6.641,11.811,12.712,175.193,180.413,27.313,233,231,1
4.295,0.000189014,2.123,2.149,6.37,15.47,1.497,6.066,9.172,21.54,18.197,204.695,227.873,90.716,243,235,1
5.348,0.000282964,2.532,2.783,7.595,12.497,1.226,4.789,7.157,14.221,14.368,190.009,190.177,33.007,205,197,1
2.577,0.000108929,1.044,1.158,3.131,9.104,1.202,3.409,4.456,10.065,10.228,210.636,232.597,79.402,66,63,1
2.002,0.00010696,0.848,0.788,2.543,9.53,0.981,3.451,5.306,10.458,10.352,181.691,186.483,27.432,103,100,1
3.85,0.000209877,1.809,1.93,5.428,11.204,1.062,4.832,6.786,10.114,14.495,188.398,184.889,23.391,93,91,1
2.859,0.000163417,1.339,1.57,4.018,18.902,1.597,7.412,13.453,20.893,22.236,169.413,175.919,22.494,92,90,1
2.879,0.000161647,1.177,1.591,3.531,10.63,1.142,3.772,5.702,10.607,11.315,167.444,179.504,31.716,91,88,1
3.638,0.000200708,1.814,1.707,5.443,10.743,1.213,3.647,5.333,10.018,10.941,163.709,179.529,31.602,84,82,1
3.196,0.000174689,1.664,1.875,4.991,13.252,1.426,4.828,9.138,16.732,14.485,190.256,183.101,16.933,103,101,1
3.05,0.000174775,1.378,1.335,4.135,11.019,1.057,4.169,7.563,13.347,12.506,170.168,175.805,31.413,106,104,1
3.835,0.000252339,1.592,1.623,4.776,14.323,1.308,5.248,7.882,17.783,15.743,164.734,150.124,24.503,73,72,1
0.449,0.000021052,0.208,0.241,0.623,4.354,0.446,1.845,2.346,4.492,5.536,207.23,213.475,13.046,429,428,1
0.464,0.00002057,0.235,0.281,0.706,3.405,0.353,1.28,1.823,3.731,3.841,224.617,225.724,4.181,422,420,1
0.561,0.000024631,0.321,0.364,0.962,3.671,0.387,1.407,1.836,3.599,4.221,225.803,227.588,7.126,364,363,1
4.898,0.000224566,2.244,3.496,6.732,16.077,1.738,5.315,7.776,11.571,15.944,214.612,215.498,6.133,65,64,1
2.901,0.000135998,0.856,0.602,2.569,10.248,0.849,2.86,5.696,13.221,8.58,211.038,210.851,21.303,48,44,1
1.955,0.000090272,0.995,1.182,2.986,9.719,1.171,3.362,5.164,11.097,10.086,221.899,224.114,8.018,70,68,1
3.035,0.000138193,1.723,2.008,5.169,7.576,1.007,2.605,2.997,5.017,7.814,218.298,218.681,7.444,79,76,1
1.367,0.000062254,0.683,0.915,2.048,7.346,0.93,2.009,4.003,6.925,6.027,216.178,218.194,7.074,69,67,1
4.11,0.000180696,2.135,2.557,6.405,12.813,1.288,5.106,6.414,20.728,15.319,213.938,239.106,76.881,137,120,1
3.56,0.000175912,1.779,2.218,5.338,15.001,1.411,5.271,9.417,17.765,15.814,201.512,202.808,10.517,92,91,1
2.105,0.000103266,0.734,0.966,2.201,10.385,1.167,2.845,4.142,11.043,8.535,206.643,204.582,13.581,70,68,1
2.783,0.000124692,1.215,1.317,3.646,11.069,1.538,3.483,5.161,8.94,10.448,211.27,225.638,30.116,104,97,1
3.263,0.000159813,1.583,0.762,4.75,6.96,0.698,2.113,3.361,5.29,6.338,218.253,210.968,33.581,56,53,1
3.144,0.000139361,1.586,1.565,4.758,13.322,1.306,5.133,7.973,17.718,15.399,220.465,225.447,21.51,295,281,1
1.697,0.000079732,0.636,0.661,1.909,11.115,1.068,3.911,5.727,12.401,11.732,221.552,212.446,34.479,307,302,1
2.309,0.000100966,1.094,1.244,3.282,11.376,1.08,3.423,6.197,15.527,10.268,227.571,227.639,12.07,237,230,1
3.959,0.000177945,1.95,2.321,5.851,13.19,1.256,6.127,8.463,12.546,18.38,226.071,223.609,34.602,291,276,1
5.681,0.000243156,2.08,2.052,6.239,10.642,1.227,4.686,5.088,8.227,14.058,240.721,236.175,19.813,62,55,1
1.297,0.000063127,0.46,0.499,1.381,6.986,0.705,2.017,3.174,6.314,6.051,216.165,199.472,36.034,87,83,1
3.528,0.000165744,1.856,1.822,5.567,13.85,1.224,5.051,8.121,10.738,15.153,215.403,213.667,16.363,97,92,1
3.215,0.000153854,1.445,1.694,4.334,10.784,1.085,3.689,6.394,13.456,11.066,206.98,208.283,62.49,111,108,1
3.051,0.000142177,1.648,1.889,4.944,10.262,0.966,3.21,4.723,10.221,9.629,213.879,213.363,10.576,104,103,1
4.973,0.000242024,2.115,2.297,6.344,15.507,1.536,5.549,7.243,14.376,16.648,216.016,207.968,27.528,111,105,1
3.135,0.000145271,1.651,1.781,4.952,9.268,1.002,3.085,4.427,12.336,9.255,217.519,216.368,11.082,98,96,1
3.446,0.000162261,1.674,2.088,5.022,14.816,1.246,5.054,7.278,13.35,15.161,213.005,211.288,11.482,95,94,1
1.202,0.000057332,0.482,0.703,1.446,9.507,0.865,2.209,3.841,9.063,6.628,212.631,209.801,9.614,83,82,1
0.669,0.000054258,0.331,0.375,0.994,7.692,0.806,3.9,4.614,6.493,11.701,123.392,123.311,2.427,1060,1058,1
0.661,0.000050241,0.304,0.391,0.911,6.072,0.567,3.191,3.645,5.207,9.574,132.231,131.758,4.823,861,857,1
0.976,0.00007186,0.585,0.449,1.754,7.269,0.656,4.013,4.122,5.139,12.04,136.092,135.817,1.633,854,843,1
3.81,0.000296133,1.995,1.821,5.986,13.73,1.296,5.731,8.446,16.675,17.194,110.487,131.171,80.369,40,38,1
4.195,0.000410878,1.786,1.93,5.358,14.512,1.334,5.43,10.657,7.577,16.289,101.038,102.719,9.181,33,30,1
2.787,0.000187191,0.812,1.201,2.436,12.125,1.084,5.273,5.831,9.677,15.818,113.882,156.765,108.453,31,28,1
1.52,0.000142437,0.681,0.843,2.043,8.603,0.952,3.543,3.723,6.721,10.63,106.761,107.396,7.372,28,27,1
1.222,0.00011598,0.426,0.324,1.277,7.351,0.721,2.682,3.786,5.909,8.047,105.972,105.219,4.034,24,23,1
3.251,0.000309698,1.593,1.282,4.778,8.733,0.707,3.844,5.31,9.256,11.532,103.322,104.552,6.338,41,39,1
4.123,0.000397978,1.975,1.699,5.926,14.664,1.361,7.812,8.496,15.413,23.435,104.185,103.843,6.897,48,46,1
3.324,0.000260543,1.491,0.97,4.473,14.442,1.267,6.756,9.224,13.856,20.269,107.375,131.186,94.403,44,39,1
2.133,0.000150058,0.802,0.962,2.407,11.901,1.218,5.062,5.873,14.811,15.185,112.759,155.235,121.668,58,49,1
3.543,0.000360411,1.246,1.687,3.738,13.141,1.095,5.23,6.034,11.72247826,15.69,99.954,98.327,7.787,17,16,1
4.055,0.000214698,1.821,2.004,5.464,15.613,1.297,6.542,8.336,21.53,19.627,133.336,200.606,138.152,178,147,1
2.056,0.000178099,0.856,0.969,2.569,15.416,1.391,6.343,8.475,16.195,19.03,113.825,115.477,8.879,128,126,1
2.798,0.000237129,0.978,1.127,2.935,13.198,1.304,5.041,8.346,16.103,15.123,117.126,117.575,10.895,86,83,1
3.582,0.000282726,1.373,1.819,4.119,13.484,1.344,4.814,6.195,16.931,14.442,112.606,128.359,62.319,100,93,1
3.362,0.000311044,0.682,1.299,2.045,12.694,1.215,6.57,7.467,11.72247826,19.711,108.418,110.038,8.913,11,10,1
1.334,0.000130736,0.486,0.633,1.458,12.797,1.249,4.755,6.706,13.281,14.265,101.98,102.003,3.045,33,32,1
2.198,0.000211751,0.924,1.047,2.771,6.882,0.681,3.223,3.671,5.625,9.67,105.598,103.92,5.019,29,27,1
2.235,0.000216977,1.043,0.855,3.13,16.514,1.554,7.49,12.153,17.984,22.471,106.005,103.807,7.618,38,37,1
3.09,0.000303039,0.972,0.823,2.917,13.164,1.199,6.406,8.191,9.741,19.218,107.476,101.752,12.302,23,21,1
3.491,0.000333621,0.986,1.457,2.957,9.461,0.853,3.379,4.738,11.72247826,10.138,102.911,102.506,4.835,16,14,1
1.357,0.000127734,0.393,0.586,1.178,13.219,1.097,6.317,9.073,14.426,18.952,103.009,106.243,7.788,33,32,1
3.191,0.000305076,1.194,1.175,3.582,13.615,1.282,6.705,7.99,13.992,20.115,105.135,105.1,5.044,37,35,1
1.535,0.000162171,0.527,0.605,1.581,10.015,1.321,2.263,5.1,7.075,6.789,98.394,94.079,8.853,26,25,1
0.291,0.000020241,0.062,0.091,0.185,3.512,0.312,1.345,2.193,3.742,4.035,145.167,143.957,6.25,100,99,1
0.311,0.00002084,0.073,0.105,0.219,2.171,0.229,0.565,1.025,2.408,1.696,149.764,149.284,4.936,107,106,1
0.509,0.000032581,0.275,0.252,0.825,2.981,0.29,1.409,1.681,2.186,4.226,157.316,156.431,3.76,123,122,1
1.955,0.000145862,0.296,0.456,0.887,7.246,0.671,3.547,4.919,5.729,10.641,138.096,133.553,14.962,34,33,1
3.323,0.000271549,0.998,0.791,2.993,8.038,0.815,4.538,4.975,7.539,13.613,121.019,123.683,22.051,48,45,1
2.61,0.000191116,1.112,1.234,3.336,5.711,0.533,2.213,2.693,6.132,6.639,138.894,137.125,8.107,41,40,1
2.14,0.000158082,0.828,0.623,2.483,7.529,0.765,2.228,3.592,6.401,6.684,137.682,135.57,9.019,42,41,1
1.857,0.000137708,0.541,0.417,1.622,8.101,0.802,2.534,4.117,7.75,7.602,138.224,136.502,9.197,43,42,1
1.908,0.000151436,0.403,0.442,1.209,9.95,0.988,3.304,4.757,8.925,9.911,122.454,125.472,15.883,62,59,1
2.903,0.000231036,1.209,1.277,3.627,14.673,1.572,5.044,8.561,16.528,15.132,123.336,125.57,15.091,66,65,1
2.283,0.000173737,0.69,0.887,2.069,10.32,0.948,3.515,4.563,9.659,10.544,122.403,131.074,15.988,55,53,1
2.408,0.000166414,1.164,1.566,3.491,8.781,0.916,2.335,4.261,8.003,7.005,145.386,143.546,24.323,68,65,1
1.807,0.000138088,0.265,0.38,0.794,6.304,0.691,2.151,3.572,5.78,6.454,137.666,130.21,16.985,39,38,1
